Cbias,credibility,domain,name,questionable,reporting,url,facebook,popularity,twitter
fake-news,low-credibility,acting-man.com,Acting Man,['poor-sourcing'],mixed,https://mediabiasfactcheck.com/acting-man/,,59,
fake-news,low-credibility,actionnews3.com,Action News 3,"['fake-news', 'imposter']",very-low,https://mediabiasfactcheck.com/action-news-3/,,22,
conspiracy-pseudoscience,low-credibility,activistpost.com,Activist Post,[],low,https://mediabiasfactcheck.com/activist-post/,activistpost?v,76,
conspiracy-pseudoscience,low-credibility,actualized.org,Actualized.org,[],low,https://mediabiasfactcheck.com/actualized-org-bias/,,,
conspiracy-pseudoscience,low-credibility,adams.news,Adams.News,[],very-low,https://mediabiasfactcheck.com/adams-news-bias/,,,
fake-news,low-credibility,adamscountytimes.com,Adams County Times,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/adams-county-times/,,,
fake-news,low-credibility,adareporter.com,Ada Reporter,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/ada-reporter/,,,
conspiracy-pseudoscience,low-credibility,addiction.news,Addiction.News,[],very-low,https://mediabiasfactcheck.com/addiction-news-bias/,,,
conspiracy-pseudoscience,low-credibility,additudemag.com,ADDitude Magazine,[],mixed,https://mediabiasfactcheck.com/additude-magazine/,,,
fake-news,low-credibility,adflegal.org,Alliance Defending Freedom,"['propaganda', 'plagiarism', 'pseudoscience', 'hate']",low,https://mediabiasfactcheck.com/alliance-defending-freedom/,AllianceDefendingFreedom,80,alliancedefends
conspiracy-pseudoscience,low-credibility,ae911truth.org,Architects & Engineers for 9/11 Truth,[],mixed,https://mediabiasfactcheck.com/architects-engineers-for-9-11-truth/,ae911truth,79,
fake-news,low-credibility,afa.net,American Family Association,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'misinformation', 'hate']",low,https://mediabiasfactcheck.com/american-family-association/,American-Family-Association,76,americanfamassc
fake-news,low-credibility,aflegal.org,America First Legal,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation', 'hate']",low,https://mediabiasfactcheck.com/america-first-legal-afl-bias-and-credibility/,,,
fake-news,low-credibility,afn.net,American Family News,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'failed-fact-checks', 'misinformation']",low,https://mediabiasfactcheck.com/onenewsnow/,onenewsnowcom,68,onenewsnowcom
fake-news,low-credibility,africanexponent.com,The African Exponent,"['poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation']",mixed,https://mediabiasfactcheck.com/the-african-exponent/,,,
conspiracy-pseudoscience,low-credibility,ageofautism.com,Age of Autism,[],low,https://mediabiasfactcheck.com/age-of-autism/,Age,67,AgeofAutism
fake-news,low-credibility,ageofshitlords.com,Age of Shitlords,[],low,https://mediabiasfactcheck.com/age-of-shitlords/,,39,ageofshitlords
fake-news,low-credibility,aguascalientesdailypost.com,Aguascalientes Daily Post,['imposter'],mixed,https://mediabiasfactcheck.com/aguascalientes-daily-post-bias/,,,
conspiracy-pseudoscience,low-credibility,ahrp.org,Alliance for Human Research Protection,[],low,https://mediabiasfactcheck.com/alliance-for-human-research-protection-ahrp-bias/,,,
conspiracy-pseudoscience,low-credibility,ahtribune.com,American Herald Tribune,[],mixed,https://mediabiasfactcheck.com/american-herald-tribune/,,52,AhTribune
conspiracy-pseudoscience,low-credibility,aim4truth.org,American Intelligence Media,[],very-low,https://mediabiasfactcheck.com/american-intelligence-media/,,44,
fake-news,low-credibility,ajuanews.com,AjuaNews.com,[],very-low,https://mediabiasfactcheck.com/ajuanews-com/,,8,
fake-news,low-credibility,akronreporter.com,Akron Reporter,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/akron-reporter-bias/,,,
fake-news,low-credibility,albanystandard.com,Albany Standard,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/albany-standard/,,,
fake-news,low-credibility,albawaba.com,Al Bawaba,"['propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks']",mixed,https://mediabiasfactcheck.com/al-bawaba/,AlBawabaNews,72,AlBawabaEnglish
conspiracy-pseudoscience,low-credibility,alexanderhiggins.com,Higgins News Network,[],mixed,https://mediabiasfactcheck.com/higgins-news-network/,HigginsNewsNetwork,58,
fake-news,low-credibility,alhayat.com,Al-Hayat,[],mixed,https://mediabiasfactcheck.com/al-hayat/,alhayatdaily,76,alhayatdaily
fake-news,low-credibility,allnewspipeline.com,All News Pipeline,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'failed-fact-checks']",low,https://mediabiasfactcheck.com/all-news-pipeline/,,56,
fake-news,low-credibility,almasdarnews.com,Al-Masdar News,"['propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing']",mixed,https://mediabiasfactcheck.com/al-masdar-news-amn/,TheArabSource,66,thearabsource
fake-news,low-credibility,alohastatenews.com,Aloha State News,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/aloha-state-news/,,,
fake-news,low-credibility,alphanews.org,Alpha News,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation', 'hate']",low,https://mediabiasfactcheck.com/alpha-news/,AlphaNewsMN,46,
conspiracy-pseudoscience,low-credibility,alt-market.com,Alt-Market,[],mixed,https://mediabiasfactcheck.com/alt-market/,,59,
conspiracy-pseudoscience,low-credibility,altcensored.com,AltCensored.com,[],low,https://mediabiasfactcheck.com/altcensored-bias-and-credibility/,,,
conspiracy-pseudoscience,low-credibility,altermedzentrum.com,Altermed Zentrum,[],very-low,https://mediabiasfactcheck.com/altermed-zentrum-bias/,,,
conspiracy-pseudoscience,low-credibility,alternativenews.com,AlternativeNews.com,[],low,https://mediabiasfactcheck.com/alternativenews-com/,,41,
conspiracy-pseudoscience,low-credibility,alternativenewsnetwork.net,Alternative News Network,[],mixed,https://mediabiasfactcheck.com/alternative-news-network/,alternativenewsnetwork.SR,29,
conspiracy-pseudoscience,low-credibility,althealthworks.com,AltHealth Works,[],low,https://mediabiasfactcheck.com/althealth-works/,AlternativeHealthWorks,49,AltHealthWORKS
conspiracy-pseudoscience,low-credibility,altleft.news,AltLeft.News,[],very-low,https://mediabiasfactcheck.com/altleft-news-bias/,,,
fake-news,low-credibility,altoonatimes.com,Altoona Times,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/altoona-times-bias/,,,
fake-news,low-credibility,altright.com,AltRight.com,[],low,https://mediabiasfactcheck.com/altright-com/,,,
fake-news,low-credibility,altrighttv.com,Alt-Right TV,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'false-claims', 'misinformation', 'hate']",low,https://mediabiasfactcheck.com/alt-right-tv/,,,
conspiracy-pseudoscience,low-credibility,aluminum.news,Aluminum.News,[],very-low,https://mediabiasfactcheck.com/aluminum-news-bias/,,,
fake-news,low-credibility,amazingnews.net,Amazingnews.net,[],low,https://mediabiasfactcheck.com/amazingnews-net/,,8,
fake-news,low-credibility,americadaily.com,America Daily,"['conspiracy', 'censorship', 'misinformation']",mixed,https://mediabiasfactcheck.com/america-daily/,,21,
fake-news,low-credibility,americafans.com,American Fans,[],low,http://mediabiasfactcheck.com/american-news/,,,
fake-news,low-credibility,americafirstreport.com,America First Report,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation']",low,https://mediabiasfactcheck.com/america-first-report-bias/,,,
fake-news,low-credibility,americanactionnews.com,American Action News,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'misinformation']",mixed,https://mediabiasfactcheck.com/american-action-news/,,38,
fake-news,low-credibility,americancatholictribune.com,American Catholic Tribine,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/american-catholic-tribune-bias/,,,
fake-news,low-credibility,americanconservativemedia.com,American Conservative Media,"['poor-sourcing', 'misinformation']",mixed,https://mediabiasfactcheck.com/american-conservative-media/,,5,
fake-news,low-credibility,americanconservativemovement.com,American Conservative Movement (ACM),"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation']",low,https://mediabiasfactcheck.com/american-conservative-movement-acm/,,,
conspiracy-pseudoscience,low-credibility,americandigitalnews.com,American Digital News,[],mixed,https://mediabiasfactcheck.com/american-digital-news/,groups/1722717411299460,30,
fake-news,low-credibility,americanflavor.news,American Flavor News,[],very-low,https://mediabiasfactcheck.com/american-flavor/,,10,
conspiracy-pseudoscience,low-credibility,americanfreepress.net,American Free Press,[],low,https://mediabiasfactcheck.com/american-free-press/,,70,
fake-news,low-credibility,americangulag.org,American Gulag,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'failed-fact-checks', 'misinformation', 'fake-news']",very-low,https://mediabiasfactcheck.com/american-gulag/,,,
conspiracy-pseudoscience,low-credibility,americanintelligencereport.com,American Intelligence Report,[],mixed,https://mediabiasfactcheck.com/american-intelligence-report/,,31,
fake-news,low-credibility,americanjournalreview.com,American Journal Review,[],low,https://mediabiasfactcheck.com/american-journal-review/,,29,
fake-news,low-credibility,americanlibertyemail.com,American Liberty Report,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'false-claims', 'misinformation']",low,https://mediabiasfactcheck.com/american-liberty-report/,,28,
fake-news,low-credibility,americanlookout.com,American Lookout,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'misinformation']",low,https://mediabiasfactcheck.com/american-lookout/,,46,
fake-news,low-credibility,americanmediaperiscope.com,American Media Periscope,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation']",low,https://mediabiasfactcheck.com/american-media-periscope-bias/,,,
fake-news,low-credibility,americanpartisan.org,American Partisan,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation']",low,https://mediabiasfactcheck.com/american-partisan-bias/,,,
fake-news,low-credibility,americanpatriotdaily.com,American Patriot Daily,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'misinformation']",low,https://mediabiasfactcheck.com/american-patriot-daily/,AmericanPatriotDailyNews,36,
fake-news,low-credibility,americanpeopledaily.com,American People Daily,"['propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'misinformation']",low,https://mediabiasfactcheck.com/american-people-daily/,,22,
fake-news,low-credibility,americanpeoplenetwork.com,American People Network,[],very-low,https://mediabiasfactcheck.com/american-people-network/,,4,
fake-news,low-credibility,americanpharmacynews.com,American Pharmacy News,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/american-pharmacy-news-bias/,,,
conspiracy-pseudoscience,low-credibility,americanpolicy.org,American Policy Center,[],low,https://mediabiasfactcheck.com/american-policy-center/,,,
fake-news,low-credibility,americanprides.org,American Prides,[],low,https://mediabiasfactcheck.com/american-prides/,,11,
fake-news,low-credibility,americanprinciplesproject.org,American Principles Project,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation']",low,https://mediabiasfactcheck.com/american-principles-project/,AmericanPrinciplesProject,51,
fake-news,low-credibility,americansarepissed.com,Americans Are Pissed,"['propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'misinformation']",low,https://mediabiasfactcheck.com/americans-are-pissed/,,1,
fake-news,low-credibility,americansecuritynews.com,American Security News,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/american-security-news-bias/,,,
fake-news,low-credibility,americansfortruth.com,Americans for Truth,"['propaganda', 'plagiarism', 'pseudoscience', 'misinformation', 'hate']",very-low,https://mediabiasfactcheck.com/americans-for-truth-aftah/,,63,
fake-news,low-credibility,americanthinker.com,American Thinker,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'failed-fact-checks', 'false-claims', 'misinformation']",low,https://mediabiasfactcheck.com/american-thinker/,American-Thinker,83,AmericanThinker
fake-news,low-credibility,americantoday.news,American Today,[],low,https://mediabiasfactcheck.com/american-today/,,23,
fake-news,low-credibility,americantruthseekers.com,American Truth Seekers,[],low,https://mediabiasfactcheck.com/american-truth-seekers/,,16,
fake-news,low-credibility,americantruthtoday.com,American Truth Today,"['propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'misinformation']",low,https://mediabiasfactcheck.com/american-truth-today/,,24,
fake-news,low-credibility,americanupdater.com,American Updater,[],low,https://mediabiasfactcheck.com/american-updater/,,16,
fake-news,low-credibility,americaoutloud.news,America Out Loud,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation', 'hate']",low,https://mediabiasfactcheck.com/america-out-loud/,,,
fake-news,low-credibility,americasfreedomfighters.com,Americas Freedom Fighters,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'misinformation', 'fake-news']",low,https://mediabiasfactcheck.com/american-freedom-fighters/,,44,
conspiracy-pseudoscience,low-credibility,americasfrontlinedoctors.org,America's Frontline Doctors,[],low,https://mediabiasfactcheck.com/americas-frontline-doctors/,,31,
fake-news,low-credibility,americasnewssource.com,America's News Source,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation', 'fake-news']",very-low,https://mediabiasfactcheck.com/americas-news-source/,,13,
fake-news,low-credibility,americatalks.com,America Talks with David Zublick,[],very-low,https://mediabiasfactcheck.com/america-talks-with-david-zublick-bias-credibility-rating/,,40,
fake-news,low-credibility,amerika.org,Amerika.org,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'false-claims', 'misinformation', 'hate']",low,https://mediabiasfactcheck.com/amerika-bias/,,,
fake-news,low-credibility,amestoday.com,Ames Today,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/ames-today-bias/,,,
conspiracy-pseudoscience,low-credibility,amg-news.com,American Media Group - AMG-News,[],very-low,https://mediabiasfactcheck.com/amg-news/,,,
fake-news,low-credibility,amic.ru,Amic.ru,"['propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'misinformation']",mixed,https://mediabiasfactcheck.com/amic-ru-bias/,,,
fake-news,low-credibility,amityunderground.com,Amity Underground,[],mixed,https://mediabiasfactcheck.com/amity-underground/,,,
fake-news,low-credibility,amoskeagtimes.com,Amoskeag Times,"['propaganda', 'plagiarism', 'pseudoscience', 'misinformation', 'imposter']",mixed,https://mediabiasfactcheck.com/amoskeag-times-bias/,,,
fake-news,low-credibility,amren.com,American Renaissance Magazine,"['propaganda', 'plagiarism', 'pseudoscience', 'misinformation', 'hate']",low,https://mediabiasfactcheck.com/american-renaissance-magazine/,,72,
conspiracy-pseudoscience,low-credibility,amtvmedia.com,Alternative Media Television (AMTV),[],low,https://mediabiasfactcheck.com/alternative-media-television-amtv/,amtvmedia,45,amtvmedia
fake-news,low-credibility,analyzingamerica.org,Analyzing America,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation']",mixed,https://mediabiasfactcheck.com/analyzing-america/,,25,
fake-news,low-credibility,analyzingamerica.org/youngconservatives,Young Conservatives,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims']",mixed,https://mediabiasfactcheck.com/young-conservatives/,,26,
conspiracy-pseudoscience,low-credibility,ancient-code.com,Ancient Code,[],mixed,https://mediabiasfactcheck.com/ancient-code/,TheAncientCode,68,theAncientCode
conspiracy-pseudoscience,low-credibility,ancient-origins.net,Ancient Origins,[],mixed,https://mediabiasfactcheck.com/ancient-origins/,ancientoriginsweb,71,ancientorigins
conspiracy-pseudoscience,low-credibility,andersoninstitute.com,Anderson Institute,[],mixed,https://mediabiasfactcheck.com/anderson-institute/,,,
fake-news,low-credibility,andersonreporter.com,Anderson Reporter,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/anderson-reporter/,,,
conspiracy-pseudoscience,low-credibility,andmagazine.com,AND Magazine,[],mixed,https://mediabiasfactcheck.com/and-magazine/,,,
fake-news,low-credibility,anews-24.com,anews-24 (American News),[],very-low,https://mediabiasfactcheck.com/anews-24-com-american-news/,,12,
conspiracy-pseudoscience,low-credibility,anewspost.com,Anewspost.com,[],mixed,https://mediabiasfactcheck.com/anewspost-com/,,,
fake-news,low-credibility,angrypatriotmovement.com,The Angry Patriot,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'false-claims', 'misinformation']",very-low,https://mediabiasfactcheck.com/the-angry-patriot/,,33,
conspiracy-pseudoscience,low-credibility,anh-usa.org,Alliance for Natural Health (ANH-USA),[],mixed,https://mediabiasfactcheck.com/alliance-for-natural-health-bias-junk-science/,,63,
conspiracy-pseudoscience,low-credibility,anhinternational.org,Alliance for Natural Health International,[],mixed,https://mediabiasfactcheck.com/alliance-for-natural-health-international-bias/,,,
fake-news,low-credibility,annarbortimes.com,Ann Arbor Times,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/ann-arbor-times-bias/,,,
fake-news,low-credibility,annearundeltoday.com,Anne Arundel Today,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/anne-arundel-today-bias/,,,
conspiracy-pseudoscience,low-credibility,annunaki.org,The Annunaki,[],very-low,https://mediabiasfactcheck.com/the-annunaki-bias/,,,
fake-news,low-credibility,anokatimes.com,Anoka Times,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/anoka-times-bias/,,,
fake-news,low-credibility,anonews.co,Anonymous News,[],mixed,https://mediabiasfactcheck.com/anonymous/,anonews.co,46,
conspiracy-pseudoscience,low-credibility,anonhq.com,We are Anonymous/AnonHQ,[],very-low,https://mediabiasfactcheck.com/we-are-anonymous/,,66,
fake-news,low-credibility,anonymouswire.com,Anonymous Wire,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation', 'fake-news', 'imposter']",low,https://mediabiasfactcheck.com/anonymous-wire-bias/,,,
conspiracy-pseudoscience,low-credibility,answersingenesis.org,Answers in Genesis,[],low,https://mediabiasfactcheck.com/answers-in-genesis/,AnswersInGenesis,88,AiG
fake-news,low-credibility,antelopevalleytoday.com,Antelope Valley Today,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/antelope-valley-today/,,4,
conspiracy-pseudoscience,low-credibility,anti-empire.com,Anti-Empire,[],low,https://mediabiasfactcheck.com/anti-empire-bias/,,,
conspiracy-pseudoscience,low-credibility,antioxidants.news,Antioxidants.News,[],very-low,https://mediabiasfactcheck.com/antioxidants-news-bias/,,,
conspiracy-pseudoscience,low-credibility,anyavien.com,Anya Vien,[],very-low,https://mediabiasfactcheck.com/anya-vien/,,,
conspiracy-pseudoscience,low-credibility,apost.com,Apost.com,[],mixed,https://mediabiasfactcheck.com/apost-com/,,42,
fake-news,low-credibility,arabnews.com,Arab News,"['propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing']",mixed,https://mediabiasfactcheck.com/arab-news/,TheArabNews,68,Arab_News
fake-news,low-credibility,archaeology-world.com,Archaeology World,['poor-sourcing'],mixed,https://mediabiasfactcheck.com/archaeology-world/,,30,
fake-news,low-credibility,arizonaindependent.com,Arizona Independent,"['propaganda', 'plagiarism', 'pseudoscience', 'misinformation', 'imposter']",mixed,https://mediabiasfactcheck.com/the-arizona-independent-bias/,,,
fake-news,low-credibility,arizonasuntimes.com,Arizona Sun Times,"['propaganda', 'plagiarism', 'pseudoscience', 'misinformation', 'imposter']",mixed,https://mediabiasfactcheck.com/arizona-sun-times-bias/,,,
fake-news,low-credibility,armedforces.press,Armed Forces Press,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation', 'imposter']",low,https://mediabiasfactcheck.com/armed-forces-press-bias/,,,
fake-news,low-credibility,aroostooknews.com,Aroostook News,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/aroostook-news-bias/,,,
conspiracy-pseudoscience,low-credibility,asheepnomore.net,A Sheep No More,[],low,https://mediabiasfactcheck.com/a-sheep-no-more/,ASheepNoMore,39,
conspiracy-pseudoscience,low-credibility,asia-pacificresearch.com,Asia-Pacific Research,[],mixed,https://mediabiasfactcheck.com/asia-pacific-research/,GlobalResearchCRG,35,CRG_CRM
conspiracy-pseudoscience,low-credibility,askingangels.com,AskingAngels,[],very-low,https://mediabiasfactcheck.com/askingangels-com/,,,
conspiracy-pseudoscience,low-credibility,assassinationscience.com,Assassination Science,[],low,https://mediabiasfactcheck.com/assassination-science/,,38,
fake-news,low-credibility,athensreporter.com,Athens Reporter,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/athens-reporter/,,,
fake-news,low-credibility,atlanticcotimes.com,Atlantic County Times,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/atlantic-county-times-bias/,,,
fake-news,low-credibility,atlstandard.com,ATL Standard,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/atl-standard/,,,
fake-news,low-credibility,auburntimes.com,Auburn Times,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/auburn-times/,,7,
fake-news,low-credibility,augustarichmondherald.com,Augusta-Richmond Herald,"['propaganda', 'plagiarism', 'pseudoscience', 'misinformation', 'imposter']",mixed,https://mediabiasfactcheck.com/augusta-richmond-herald-bias/,,,
conspiracy-pseudoscience,low-credibility,australiannationalreview.com,Australian National Review,[],low,https://mediabiasfactcheck.com/australian-national-review/,AustralianNationalReview,33,
fake-news,low-credibility,australiaoneparty.com,AustraliaOne,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation', 'hate']",low,https://mediabiasfactcheck.com/australiaone-bias/,,,
conspiracy-pseudoscience,low-credibility,autismspeaks.org,Autism Speaks,[],mostly-factual,https://mediabiasfactcheck.com/autism-speaks/,autismspeaks,87,autismspeaks
fake-news,low-credibility,avoiceformen.com,A Voice for Men,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'false-claims', 'misinformation', 'hate']",low,https://mediabiasfactcheck.com/a-voice-for-men/,,65,
conspiracy-pseudoscience,low-credibility,awakecanada.org,Awake Canada,[],very-low,https://mediabiasfactcheck.com/awake-canada-bias/,,,
